"","day","sapflow_2.5cm","soil_vwc_15cm","wx_par_den15","wx_tempavg15","wx_windspeed15"
"1",2022-06-01,0.651950819672131,0.36246695919606,815.278163934426,29.6977049180328,0.76359304895082
"2",2022-06-02,0.702726775956284,0.3656145844279,588.536721311475,22.9396721311475,1.06886751442623
"3",2022-06-03,0.454472527472527,0.374400921157271,723.785737704918,22.5203278688525,1.61357083934426
"4",2022-06-04,0.397645719489982,0.367634651419794,849.893606557377,23.9770491803279,0.856423549216393
"5",2022-06-05,0.398321493624772,0.361913676530632,920.937245901639,21.9231147540984,1.46868790065574
"6",2022-06-06,0.399894353369763,0.357088518582474,923.627278688525,22.6755737704918,1.37045585345902
"7",2022-06-07,0.515446886446886,0.346877335215867,491.691983606557,23.167868852459,1.39618580655738
"8",2022-06-08,0.610876138433516,0.348795851204649,784.759557377049,26.0744262295082,1.22752936229508
"9",2022-06-09,0.609533697632058,0.362072598265082,795.829081967213,25.0124590163934,2.20377706721311
"10",2022-06-10,0.524427710843373,0.349259025934684,783.119049180328,22.7327868852459,1.14015582704918
"11",2022-06-11,0.525814102564103,0.351514793935662,263.97168852459,19.4075409836066,0.552894905937705
"12",2022-06-12,0.509688524590164,0.349851213166134,520.226836065574,22.3149180327869,0.793553595032787
"13",2022-06-13,0.480342440801457,0.345341997264384,797.800147540984,27.5468852459016,0.865991489147541
"14",2022-06-14,0.506663934426229,0.379683558031464,488.635442622951,22.3462295081967,1.04995123483607
"15",2022-06-15,0.471467213114754,0.368788570835235,893.191868852459,26.6162295081967,0.993237982295082
"16",2022-06-16,0.503218579234973,0.363384386484945,462.76062295082,23.975737704918,1.11058802459016
"17",2022-06-17,0.461847905282331,0.357380320298494,805.389606557377,30.5826229508197,0.989350145737705
"18",2022-06-18,0.480367941712204,0.349686055447537,789.326065573771,22.0170491803279,2.86698535377049
"19",2022-06-19,0.48221978021978,0.343522343687758,928.552475409836,20.7224590163934,2.39923616622951
"20",2022-06-20,0.483581967213115,0.336782859860465,920.587344262295,22.2109836065574,1.02326451027869
"21",2022-06-21,0.496296903460838,0.331138378004102,562.239803278689,22.7180327868852,0.421367846721312
"22",2022-06-22,0.504106557377049,0.327229085749088,506.803409836066,23.4895081967213,1.02952297840984
"23",2022-06-23,0.510566484517304,0.372135970131507,294.294229508197,19.6927868852459,0.919052515901639
"24",2022-06-24,0.480359744990893,0.362105386848095,795.239704918033,22.9973770491803,0.868087156229508
"25",2022-06-25,0.474676684881603,0.354107296357045,893.657754098361,25.8852459016393,1.04806083271475
"26",2022-06-26,0.473017304189435,0.346743021215069,859.341950819672,26.4573770491803,1.34322645737705
"27",2022-06-27,0.494838797814208,0.353500328065844,465.306901639344,24.3967213114754,0.662158643606557
"28",2022-06-28,0.474651183970856,0.352918716277702,902.431409836066,22.597868852459,1.3400579647541
"29",2022-06-29,0.47715664845173,0.344974388633867,861.161557377049,24.9301639344262,1.11466873442623
"30",2022-06-30,0.484499084249084,0.337413623840128,907.502754098361,27.3101639344262,0.800263636557377
